activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031740480,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18502"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028882421,SO-18502,Dynamic Enterprises,99381000000151001,salesorder,deleted,false,Zoho Books,
99381000031740479,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18505"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028878051,SO-18505,SMART DIGITAL SCALE,99381000018209120,salesorder,deleted,false,Zoho Books,
99381000031740478,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18493"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028864780,SO-18493,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,99381000000112170,salesorder,deleted,false,Zoho Books,
99381000031740237,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19168"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030217762,SO-19168,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740236,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19154"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030182180,SO-19154,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,99381000000112170,salesorder,deleted,false,Zoho Books,
99381000031740235,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19147"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030182083,SO-19147,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740234,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19126"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030136001,SO-19126,VALLUVANAD SCALES,99381000010217110,salesorder,deleted,false,Zoho Books,
99381000031740233,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19122"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030132001,SO-19122,PRINCE SCALE,99381000004659941,salesorder,deleted,false,Zoho Books,
99381000031740232,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19123"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030129027,SO-19123,SARVESH AGENCY,99381000004257863,salesorder,deleted,false,Zoho Books,
99381000031740231,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19119"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030111001,SO-19119,YES YES TECHNOLOGIES-COIMBATORE,99381000028030135,salesorder,deleted,false,Zoho Books,
