PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Electronic  Cash scale Q8,ECS5W,unit,1.00,1.00,13000.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W PRINTER MAIN BOARD,ECS807,unit,1.00,1.00,350.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC On/Off Switch,BPC110,unit,1.00,1.00,15.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,MOTHER BOARD CCM,CCM112,unit,1.00,1.00,1200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PAN HOLDING CROSS STAND,Q9701,unit,1.00,1.00,350.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 20 kg 130 mm,LKM201,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Shearbeam Loadcell 500 kg,SLK500,unit,1.00,1.00,680.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Panel Sticker ATM PC Waterproof Back,WPC408,unit,1.00,1.00,30.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ELECTRONIC WEIGHING SCALE 600.81g/10mg,JW600,unit,1.00,1.00,3400.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,BARCODE SCANNER PT-138 2D,PT138,unit,1.00,1.00,4000.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER paper fix plastic case,Q9725,unit,1.00,1.00,60.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS/LBL Display connector cable(15 CM),ECS831,unit,1.00,1.00,60.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Jwellery Scale XY3000-2C (3100g/0.01g),YSJ3102C,unit,1.00,1.00,8500.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS 5W/4W/ECR/INDICATOR Printer Roller,ECS838,unit,1.00,1.00,370.000000,
